StartTime,Date,Site,SiteID,Address,Latitude,Longitude,parameter,Value,Units,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,station_id,Location
11/1/15 16:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,238,PPB,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,KLGA,Rooftop
11/1/15 17:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,63,Mostly Cloudy,South at 9.2 MPH (8 KT),South,200,9.2,NULL,62,KLGA,Rooftop
11/1/15 17:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,348.51,PPB,63,Mostly Cloudy,South at 9.2 MPH (8 KT),South,200,9.2,NULL,62,KLGA,Rooftop
11/1/15 18:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,300,PPB,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,KLGA,Rooftop
11/1/15 18:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,362.13,PPB,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,KLGA,Rooftop
11/1/15 19:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,300,PPB,61,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,220,10.4,NULL,60,KLGA,Rooftop
11/1/15 19:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,317.55,PPB,61,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,220,10.4,NULL,60,KLGA,Rooftop
11/1/15 20:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,300,PPB,61,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,60,KLGA,Rooftop
11/1/15 20:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,331.7,PPB,61,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,60,KLGA,Rooftop
11/1/15 21:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,300,PPB,61,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,230,9.2,NULL,60,KLGA,Rooftop
11/1/15 21:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,334.77,PPB,61,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,230,9.2,NULL,60,KLGA,Rooftop
11/1/15 22:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,300,PPB,61,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,60,KLGA,Rooftop
11/1/15 22:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,330.59,PPB,61,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,60,KLGA,Rooftop
11/1/15 23:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,60,Mostly Cloudy,Southwest at 8.1 MPH (7 KT),Southwest,220,8.1,NULL,59,KLGA,Rooftop
11/1/15 23:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,291.39,PPB,60,Mostly Cloudy,Southwest at 8.1 MPH (7 KT),Southwest,220,8.1,NULL,59,KLGA,Rooftop
11/1/15 1:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.3,PPB,54,Overcast,South at 5.8 MPH (5 KT),South,200,5.8,NULL,53,KLGA,Rooftop
11/1/15 1:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.3,PPB,54,Overcast,Southwest at 4.6 MPH (4 KT),Southwest,210,4.6,NULL,53,KLGA,Rooftop
11/1/15 1:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,0,PPB,54,Overcast,South at 5.8 MPH (5 KT),South,200,5.8,NULL,53,KLGA,Rooftop
11/1/15 1:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,0,PPB,54,Overcast,Southwest at 4.6 MPH (4 KT),Southwest,210,4.6,NULL,53,KLGA,Rooftop
11/1/15 1:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0,PPB,54,Overcast,South at 5.8 MPH (5 KT),South,200,5.8,NULL,53,KLGA,Rooftop
11/1/15 1:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0,PPB,54,Overcast,Southwest at 4.6 MPH (4 KT),Southwest,210,4.6,NULL,53,KLGA,Rooftop
11/1/15 2:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.4,PPB,54,Overcast,Southwest at 6.9 MPH (6 KT),Southwest,210,6.9,NULL,52,KLGA,Rooftop
11/1/15 2:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,0.9,PPB,54,Overcast,Southwest at 6.9 MPH (6 KT),Southwest,210,6.9,NULL,52,KLGA,Rooftop
11/1/15 2:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0,PPB,54,Overcast,Southwest at 6.9 MPH (6 KT),Southwest,210,6.9,NULL,52,KLGA,Rooftop
11/1/15 3:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.6,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,180,8.1,NULL,52,KLGA,Rooftop
11/1/15 3:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,0.9,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,180,8.1,NULL,52,KLGA,Rooftop
11/1/15 3:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,180,8.1,NULL,52,KLGA,Rooftop
11/1/15 4:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.3,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,190,8.1,NULL,52,KLGA,Rooftop
11/1/15 4:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,1.4,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,190,8.1,NULL,52,KLGA,Rooftop
11/1/15 4:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0,PPB,54,Overcast,South at 8.1 MPH (7 KT),South,190,8.1,NULL,52,KLGA,Rooftop
11/1/15 5:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.3,PPB,55,Overcast,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,54,KLGA,Rooftop
11/1/15 5:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,1.3,PPB,55,Overcast,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,54,KLGA,Rooftop
11/1/15 5:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.2,PPB,55,Overcast,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,54,KLGA,Rooftop
11/1/15 6:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.5,PPB,56,Light Rain,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,55,KLGA,Rooftop
11/1/15 6:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,1.3,PPB,56,Light Rain,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,55,KLGA,Rooftop
11/1/15 6:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.3,PPB,56,Light Rain,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,55,KLGA,Rooftop
11/1/15 7:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,1.4,PPB,57,Mostly Cloudy,South at 11.5 MPH (10 KT),South,200,11.5,NULL,54,KLGA,Rooftop
11/1/15 7:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2.1,PPB,57,Mostly Cloudy,South at 11.5 MPH (10 KT),South,200,11.5,NULL,54,KLGA,Rooftop
11/1/15 7:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.6,PPB,57,Mostly Cloudy,South at 11.5 MPH (10 KT),South,200,11.5,NULL,54,KLGA,Rooftop
11/1/15 8:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,2,PPB,58,Mostly Cloudy,from the Southwest at 9.2 gusting to 20.7 MPH (8 g,Southwest,220,9.2,20.7,56,KLGA,Rooftop
11/1/15 8:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,3.3,PPB,58,Mostly Cloudy,from the Southwest at 9.2 gusting to 20.7 MPH (8 g,Southwest,220,9.2,20.7,56,KLGA,Rooftop
11/1/15 8:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.8,PPB,58,Mostly Cloudy,from the Southwest at 9.2 gusting to 20.7 MPH (8 g,Southwest,220,9.2,20.7,56,KLGA,Rooftop
11/1/15 9:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,2.2,PPB,59,Overcast,from the Southwest at 15.0 gusting to 21.9 MPH (13,Southwest,210,15,21.9,56,KLGA,Rooftop
11/1/15 9:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,3.7,PPB,59,Overcast,from the Southwest at 15.0 gusting to 21.9 MPH (13,Southwest,210,15,21.9,56,KLGA,Rooftop
11/1/15 9:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,1,PPB,59,Overcast,from the Southwest at 15.0 gusting to 21.9 MPH (13,Southwest,210,15,21.9,56,KLGA,Rooftop
11/1/15 10:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,2.8,PPB,59,Mostly Cloudy,Southwest at 12.7 MPH (11 KT),Southwest,230,12.7,NULL,57,KLGA,Rooftop
11/1/15 10:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,3.7,PPB,59,Mostly Cloudy,Southwest at 12.7 MPH (11 KT),Southwest,230,12.7,NULL,57,KLGA,Rooftop
11/1/15 10:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.9,PPB,59,Mostly Cloudy,Southwest at 12.7 MPH (11 KT),Southwest,230,12.7,NULL,57,KLGA,Rooftop
11/1/15 11:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,3.6,PPB,61,Mostly Cloudy,from the West at 11.5 gusting to 18.4 MPH (10 gust,West,250,11.5,18.4,59,KLGA,Rooftop
11/1/15 11:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,4.8,PPB,61,Mostly Cloudy,from the West at 11.5 gusting to 18.4 MPH (10 gust,West,250,11.5,18.4,59,KLGA,Rooftop
11/1/15 11:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,1.2,PPB,61,Mostly Cloudy,from the West at 11.5 gusting to 18.4 MPH (10 gust,West,250,11.5,18.4,59,KLGA,Rooftop
11/1/15 12:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,2.7,PPB,62,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,61,KLGA,Rooftop
11/1/15 12:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,4.4,PPB,62,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,61,KLGA,Rooftop
11/1/15 12:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,1.3,PPB,62,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,61,KLGA,Rooftop
11/1/15 13:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,3,PPB,63,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,62,KLGA,Rooftop
11/1/15 13:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,4.7,PPB,63,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,62,KLGA,Rooftop
11/1/15 13:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,1.2,PPB,63,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,62,KLGA,Rooftop
11/1/15 14:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,2,PPB,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,KLGA,Rooftop
11/1/15 14:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2.5,PPB,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,KLGA,Rooftop
11/1/15 14:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.8,PPB,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,KLGA,Rooftop
