StartTime,Site,SiteID,Address,Latitude,Longitude,pm25,co,no,no2,nox,ozone,so2,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,observation_datetime,station_id,Location
11/8/15 6:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,5.3,NULL,NULL,NULL,NULL,NULL,NULL,48,Partly Cloudy,Northwest at 9.2 MPH (8 KT),Northwest,310,9.2,NULL,44,00:00.0,KLGA,Rooftop
11/4/15 17:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,10.3,NULL,NULL,NULL,NULL,26,NULL,63,Fair,Southeast at 9.2 MPH (8 KT),Southeast,140,9.2,NULL,62,00:00.0,KLGA,Rooftop
11/6/15 10:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,7.5,NULL,NULL,NULL,NULL,13,NULL,71,Overcast,from the Southwest at 12.7 gusting to 19.6 MPH (11,Southwest,230,12.7,19.6,NULL,00:00.0,KLGA,Rooftop
11/9/15 12:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,11.9,NULL,NULL,NULL,NULL,NULL,NULL,59,Mostly Cloudy,Southwest at 4.6 MPH (4 KT),Southwest,240,4.6,NULL,59,00:00.0,KLGA,Rooftop
11/9/15 19:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,9.03,585.27,23.6,47.8,71.4,1,0.9,56,Overcast,South at 4.6 MPH (4 KT),South,180,4.6,NULL,55,00:00.0,KLGA,Rooftop
11/1/15 20:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,18.4,NULL,NULL,NULL,NULL,NULL,NULL,61,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,60,00:00.0,KLGA,Rooftop
11/5/15 22:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,10.6,NULL,NULL,NULL,NULL,NULL,NULL,67,Fog/Mist,South at 6.9 MPH (6 KT),South,180,6.9,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 13:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,12.1,NULL,NULL,NULL,NULL,20,NULL,73,Fair,Southwest at 5.8 MPH (5 KT),Southwest,240,5.8,NULL,NULL,00:00.0,KLGA,Rooftop
11/4/15 13:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,300,3.7,14.9,18.7,30,0.8,65,Fair,Northeast at 8.1 MPH (7 KT),Northeast,50,8.1,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 7:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,11.3,NULL,NULL,NULL,NULL,NULL,NULL,55,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 0:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,14.26,266.67,0.2,19.6,19.8,11,0.4,60,Mostly Cloudy,Northwest at 11.5 MPH (10 KT),Northwest,320,11.5,NULL,58,00:00.0,KLGA,Rooftop
11/3/15 4:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,14.6,NULL,NULL,NULL,NULL,NULL,NULL,52,Fair,Northeast at 3.5 MPH (3 KT),Northeast,50,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/1/15 18:00,Bronx - IS74,360050112,IS 74    730 BRYANT AV,40.81551,-73.88553,14,NULL,NULL,NULL,NULL,NULL,NULL,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,00:00.0,KLGA,Rooftop
11/5/15 18:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,14.6,NULL,NULL,NULL,NULL,0,NULL,65,Fog/Mist,South at 4.6 MPH (4 KT),South,190,4.6,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 21:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,12.8,NULL,NULL,NULL,NULL,0,NULL,63,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/4/15 14:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,9.1,NULL,NULL,NULL,NULL,28,NULL,69,Fair,Southeast at 6.9 MPH (6 KT),Southeast,130,6.9,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 17:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,17.9,NULL,NULL,NULL,NULL,NULL,NULL,66,Fair,South at 4.6 MPH (4 KT),South,180,4.6,NULL,NULL,00:00.0,KLGA,Rooftop
11/5/15 3:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,9.1,NULL,NULL,NULL,NULL,NULL,NULL,59,Fog/Mist,South at 4.6 MPH (4 KT),South,200,4.6,NULL,59,00:00.0,KLGA,Rooftop
11/6/15 20:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,15.8,NULL,NULL,NULL,NULL,NULL,NULL,71,Overcast,Southwest at 11.5 MPH (10 KT),Southwest,220,11.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/9/15 22:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,12,NULL,NULL,NULL,NULL,NULL,NULL,55,Overcast,East at 4.6 MPH (4 KT),East,70,4.6,NULL,54,00:00.0,KLGA,Rooftop
11/2/15 12:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,7.6,NULL,NULL,NULL,NULL,NULL,NULL,63,Mostly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/1/15 5:00,PS 19,360610128,PS 19    185 1ST AVENUE,40.73,-73.98446,6.2,NULL,NULL,NULL,NULL,NULL,NULL,55,Overcast,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,54,00:00.0,KLGA,Rooftop
11/5/15 15:00,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,20.82,NULL,5.1,35.9,41,NULL,1.7,67,Overcast,South at 8.1 MPH (7 KT),South,170,8.1,NULL,NULL,00:00.0,KLGA,Rooftop
11/6/15 15:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,10.5,NULL,NULL,NULL,NULL,NULL,NULL,73,Mostly Cloudy,from the Southwest at 11.5 gusting to 17.3 MPH (10,Southwest,230,11.5,17.3,NULL,00:00.0,KLGA,Rooftop
11/3/15 8:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,18.1,NULL,NULL,NULL,NULL,NULL,NULL,59,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
